.text section layout
  Starting        Virtual
  address  Size   address
  -----------------------
  00000000 000efc 800056e0  1 .text 	m_Do_main.o 
  000024dc 004168 80007bbc  1 .text 	m_Do_graphic.o 
  000024dc 000220 80007bbc  4 mDoGph_gInf_c::create() 	m_Do_graphic.o 
  000026fc 0000cc 80007ddc  4 mDoGph_gInf_c::createHeap() 	m_Do_graphic.o 
  000027c8 00003c 80007ea8  4 mDoGph_gInf_c::alloc(u32, i32) 	m_Do_graphic.o 
  00002804 000038 80007ee4  4 mDoGph_gInf_c::free() 	m_Do_graphic.o 
  0000283c 000050 80007f1c  4 mDoGph_gInf_c::fadeOut(f32, _GXColor&) 	m_Do_graphic.o 
  0000288c 000028 80007f6c  4 mDoGph_gInf_c::onBlure() 	m_Do_graphic.o 
  000028b4 000030 80007f94  4 mDoGph_gInf_c::onBlure(f32 const (*)[4]) 	m_Do_graphic.o 
  000028e4 000024 80007fc4  4 mDoGph_gInf_c::fadeOut(f32) 	m_Do_graphic.o 
  00002908 0002f0 80007fe8  4 mDoGph_gInf_c::calcFade() 	m_Do_graphic.o 
  00002bf8 00003c 800082d8  4 mDoGph_gInf_c::onMonotone() 	m_Do_graphic.o 
  00002c34 000040 80008314  4 mDoGph_gInf_c::offMonotone() 	m_Do_graphic.o 
  00002c74 000064 80008354  4 mDoGph_gInf_c::calcMonotone() 	m_Do_graphic.o 
  00002cd8 000004 800083b8  4 mDoGph_BlankingON() 	m_Do_graphic.o 
  00002cdc 000004 800083bc  4 mDoGph_BlankingOFF() 	m_Do_graphic.o 
  00002ce0 00002c 800083c0  4 dScnPly_BeforeOfPaint() 	m_Do_graphic.o 
  00002d0c 000024 800083ec  4 mDoGph_BeforeOfDraw() 	m_Do_graphic.o 
  00002d30 0001f0 80008410  4 mDoGph_AfterOfDraw() 	m_Do_graphic.o 
  00002f20 000280 80008600  4 clearAlphaBuffer(view_class*, u8) 	m_Do_graphic.o 
  000031a0 00028c 80008880  4 drawAlphaBuffer(view_class*, _GXColor) 	m_Do_graphic.o 
  0000342c 000428 80008b0c  4 drawSpot(view_class*) 	m_Do_graphic.o 
  00003854 0009d8 80008f34  4 drawDepth(view_class*, view_port_class*, i32) 	m_Do_graphic.o 
  0000422c 000008 8000990c  4 dStage_roomDt_c::getFileListInfo() const 	m_Do_graphic.o 
  00004234 0002a8 80009914  4 motionBlure(view_class*) 	m_Do_graphic.o 
  000044dc 000024 80009bbc  4 mCaptureAlarmHandler(OSAlarm*, OSContext*) 	m_Do_graphic.o 
  00004500 000008 80009be0  4 mDoGph_setCaptureStep(i16) 	m_Do_graphic.o 
  00004508 000008 80009be8  4 mDoGph_getCaptureStep() 	m_Do_graphic.o 
  00004510 000008 80009bf0  4 mDoGph_getCaptureTextureBuffer() 	m_Do_graphic.o 
  00004518 000008 80009bf8  4 mDoGph_setCaptureTextureFormat(u8) 	m_Do_graphic.o 
  00004520 000008 80009c00  4 mDoGph_setCaptureCaptureFormat(u8) 	m_Do_graphic.o 
  00004528 000030 80009c08  4 mDoGph_CaptureCansel() 	m_Do_graphic.o 
  00004558 000548 80009c38  4 blockenc(u8*) 	m_Do_graphic.o 
  00004aa0 0003b0 8000a180  4 encode_s3tc(u8*, u8*, i32, i32, _GXTexFmt) 	m_Do_graphic.o 
  00004e50 000214 8000a530  4 setUpRectangle() 	m_Do_graphic.o 
  00005064 0000ac 8000a744  4 drawRectangle(i32, i32, i32, i32) 	m_Do_graphic.o 
  00005110 0000c8 8000a7f0  4 mDoGph_allocFromAny(u32, i32) 	m_Do_graphic.o 
  000051d8 00020c 8000a8b8  4 mDoGph_screenCaptureDraw() 	m_Do_graphic.o 
  000053e4 000058 8000aac4  4 mCaptureProc(void*) 	m_Do_graphic.o 
  0000543c 0000a8 8000ab1c  4 mCaptureGXDrawSyncCallback(u16) 	m_Do_graphic.o 
  000054e4 000078 8000abc4  4 mCaptureGXDrawSyncTimeOut(OSAlarm*, OSContext*) 	m_Do_graphic.o 
  0000555c 000268 8000ac3c  4 mDoGph_screenCapture() 	m_Do_graphic.o 
  000057c4 000088 8000aea4  4 setLight() 	m_Do_graphic.o 
  0000584c 000d0c 8000af2c  4 mDoGph_Painter() 	m_Do_graphic.o 
  00006558 00005c 8000bc38  4 ~J2DOrthoGraph() 	m_Do_graphic.o 
  000065b4 000074 8000bc94  4 mDoGph_Create() 	m_Do_graphic.o 
  00006628 00001c 8000bd08  4 __sinit_m_Do_graphic_cpp 	m_Do_graphic.o 
  00006644 000eb0 8000bd24  1 .text 	m_Do_machine.o 
  00006644 0001c8 8000bd24  4 myGetHeapTypeByString(JKRHeap*) 	m_Do_machine.o 
  0000680c 0001dc 8000beec  4 myMemoryErrorRoutine(void*, u32, i32) 	m_Do_machine.o 
  000069e8 0000a0 8000c0c8  4 myHeapCheckRecursive(JKRHeap*) 	m_Do_machine.o 
  00006a88 000024 8000c168  4 mDoMch_HeapCheckAll() 	m_Do_machine.o 
  00006aac 0000b0 8000c18c  4 developKeyCheck(u32, u32) 	m_Do_machine.o 
  00006b5c 000184 8000c23c  4 myExceptionCallback(u16, OSContext*, u32, u32) 	m_Do_machine.o 
  00006ce0 00034c 8000c3c0  4 fault_callback_scroll(u16, OSContext*, u32, u32) 	m_Do_machine.o 
  0000702c 00043c 8000c70c  4 mDoMch_Create() 	m_Do_machine.o 
  00007468 0012c8 8000cb48  1 .text 	m_Do_mtx.o 
  00007468 0000a4 8000cb48  4 mDoMtx_XYZrotM(f32 (*)[4], i16, i16, i16) 	m_Do_mtx.o 
  0000750c 000098 8000cbec  4 mDoMtx_ZXYrotS(f32 (*)[4], i16, i16, i16) 	m_Do_mtx.o 
  000075a4 0000a4 8000cc84  4 mDoMtx_ZXYrotM(f32 (*)[4], i16, i16, i16) 	m_Do_mtx.o 
  00007648 000060 8000cd28  4 mDoMtx_XrotS(f32 (*)[4], i16) 	m_Do_mtx.o 
  000076a8 000040 8000cd88  4 mDoMtx_XrotM(f32 (*)[4], i16) 	m_Do_mtx.o 
  000076e8 000060 8000cdc8  4 mDoMtx_YrotS(f32 (*)[4], i16) 	m_Do_mtx.o 
  00007748 000040 8000ce28  4 mDoMtx_YrotM(f32 (*)[4], i16) 	m_Do_mtx.o 
  00007788 000060 8000ce68  4 mDoMtx_ZrotS(f32 (*)[4], i16) 	m_Do_mtx.o 
  000077e8 000040 8000cec8  4 mDoMtx_ZrotM(f32 (*)[4], i16) 	m_Do_mtx.o 
  00007828 000204 8000cf08  4 mDoMtx_lookAt(f32 (*)[4], Vec const*, Vec const*, i16) 	m_Do_mtx.o 
  00007a2c 00003c 8000d10c  4 ~cXyz() 	m_Do_mtx.o 
  00007a68 00013c 8000d148  4 mDoMtx_lookAt(f32 (*)[4], Vec const*, Vec const*, Vec const*, i16) 	m_Do_mtx.o 
  00007ba4 000104 8000d284  4 mDoMtx_concatProjView(f32 const (*)[4], f32 const (*)[4], f32 (*)[4]) 	m_Do_mtx.o 
  00007ca8 0001a8 8000d388  4 mDoMtx_inverseTranspose(f32 const (*)[4], f32 (*)[4]) 	m_Do_mtx.o 
  00007e50 000104 8000d530  4 mDoMtx_QuatConcat(Quaternion const*, Quaternion const*, Quaternion*) 	m_Do_mtx.o 
  00007f54 000118 8000d634  4 mDoMtx_MtxToRot(f32 const (*)[4], csXyz*) 	m_Do_mtx.o 
  0000806c 000080 8000d74c  4 mDoMtx_stack_c::push() 	m_Do_mtx.o 
  000080ec 000084 8000d7cc  4 mDoMtx_stack_c::pop() 	m_Do_mtx.o 
  00008170 000038 8000d850  4 mDoMtx_stack_c::transM(f32, f32, f32) 	m_Do_mtx.o 
  000081a8 000038 8000d888  4 mDoMtx_stack_c::scaleM(f32, f32, f32) 	m_Do_mtx.o 
  000081e0 000044 8000d8c0  4 mDoMtx_stack_c::lYrotM(i32) 	m_Do_mtx.o 
  00008224 00003c 8000d904  4 mDoMtx_stack_c::rYrotM(f32) 	m_Do_mtx.o 
  00008260 00003c 8000d940  4 mDoMtx_stack_c::quatM(Quaternion const*) 	m_Do_mtx.o 
  0000829c 00007c 8000d97c  4 __sinit_m_Do_mtx_cpp 	m_Do_mtx.o 
  00008318 00003c 8000d9f8  4 ~mDoMtx_quatStack_c() 	m_Do_mtx.o 
  00008354 00003c 8000da34  4 ~mDoMtx_stack_c() 	m_Do_mtx.o 
  00008390 00b700 8000da70  1 .text 	m_Do_ext.o 
  00008390 000280 8000da70  4 mDoExt_setJ3DData(f32 (*)[4], J3DTransformInfo const*, u16) 	m_Do_ext.o 
  00008610 000004 8000dcf0  4 J3DAnmTransform::getTransform(u16, J3DTransformInfo*) const 	m_Do_ext.o 
  00008614 000058 8000dcf4  4 isCurrentSolidHeap() 	m_Do_ext.o 
  0000866c 0001d8 8000dd4c  4 mDoExt_baseAnm::initPlay(i16, i32, f32, i16, i16, bool) 	m_Do_ext.o 
  00008844 0000a0 8000df24  4 mDoExt_baseAnm::play() 	m_Do_ext.o 
  000088e4 00002c 8000dfc4  4 mDoExt_bpkAnm::init(J3DModelData*, J3DAnmColor*, i32, i32, f32, i16, i16, bool, i32) 	m_Do_ext.o 
  00008910 000024 8000dff0  4 mDoExt_bpkAnm::entry(J3DModelData*, f32) 	m_Do_ext.o 
  00008934 000294 8000e014  4 mDoExt_bpkAnm::init(J3DMaterialTable*, J3DAnmColor*, i32, i32, f32, i16, i16, bool, i32) 	m_Do_ext.o 
  00008bc8 00003c 8000e2a8  4 ~J3DMatColorAnm() 	m_Do_ext.o 
  00008c04 000010 8000e2e4  4 J3DMatColorAnm() 	m_Do_ext.o 
  00008c14 000038 8000e2f4  4 mDoExt_bpkAnm::entry(J3DMaterialTable*, f32) 	m_Do_ext.o 
  00008c4c 00002c 8000e32c  4 mDoExt_btpAnm::init(J3DModelData*, J3DAnmTexPattern*, i32, i32, f32, i16, i16, bool, i32) 	m_Do_ext.o 
  00008c78 000024 8000e358  4 mDoExt_btpAnm::entry(J3DModelData*, i16) 	m_Do_ext.o 
  00008c9c 000294 8000e37c  4 mDoExt_btpAnm::init(J3DMaterialTable*, J3DAnmTexPattern*, i32, i32, f32, i16, i16, bool, i32) 	m_Do_ext.o 
  00008f30 000048 8000e610  4 ~J3DTexNoAnm() 	m_Do_ext.o 
  00008f78 00001c 8000e658  4 J3DTexNoAnm() 	m_Do_ext.o 
  00008f94 000058 8000e674  4 mDoExt_btpAnm::entry(J3DMaterialTable*, i16) 	m_Do_ext.o 
  00008fec 00002c 8000e6cc  4 mDoExt_btkAnm::init(J3DModelData*, J3DAnmTextureSRTKey*, i32, i32, f32, i16, i16, bool, i32) 	m_Do_ext.o 
  00009018 000024 8000e6f8  4 mDoExt_btkAnm::entry(J3DModelData*, f32) 	m_Do_ext.o 
  0000903c 0003c8 8000e71c  4 mDoExt_btkAnm::init(J3DMaterialTable*, J3DAnmTextureSRTKey*, i32, i32, f32, i16, i16, bool, i32) 	m_Do_ext.o 
  00009404 00003c 8000eae4  4 ~J3DTexMtxAnm() 	m_Do_ext.o 
  00009440 000010 8000eb20  4 J3DTexMtxAnm() 	m_Do_ext.o 
  00009450 000008 8000eb30  4 J3DTexGenBlock::getTexMtx(u32) 	m_Do_ext.o 
  00009458 00003c 8000eb38  4 mDoExt_btkAnm::entry(J3DMaterialTable*, f32) 	m_Do_ext.o 
  00009494 00002c 8000eb74  4 mDoExt_brkAnm::init(J3DModelData*, J3DAnmTevRegKey*, i32, i32, f32, i16, i16, bool, i32) 	m_Do_ext.o 
  000094c0 000024 8000eba0  4 mDoExt_brkAnm::entry(J3DModelData*, f32) 	m_Do_ext.o 
  000094e4 000324 8000ebc4  4 mDoExt_brkAnm::init(J3DMaterialTable*, J3DAnmTevRegKey*, i32, i32, f32, i16, i16, bool, i32) 	m_Do_ext.o 
  00009808 00003c 8000eee8  4 ~J3DTevKColorAnm() 	m_Do_ext.o 
  00009844 000010 8000ef24  4 J3DTevKColorAnm() 	m_Do_ext.o 
  00009854 00003c 8000ef34  4 ~J3DTevColorAnm() 	m_Do_ext.o 
  00009890 000010 8000ef70  4 J3DTevColorAnm() 	m_Do_ext.o 
  000098a0 00003c 8000ef80  4 mDoExt_brkAnm::entry(J3DMaterialTable*, f32) 	m_Do_ext.o 
  000098dc 0001bc 8000efbc  4 mDoExt_bvaAnm::init(J3DModel*, J3DAnmVisibilityFull*, i32, i32, f32, i16, i16, bool, i32) 	m_Do_ext.o 
  00009a98 00003c 8000f178  4 mDoExt_bvaAnm::entry(J3DModel*, i16) 	m_Do_ext.o 
  00009ad4 000254 8000f1b4  4 mDoExt_bckAnm::init(J3DModelData*, J3DAnmTransform*, i32, i32, f32, i16, i16, bool) 	m_Do_ext.o 
  00009d28 000094 8000f408  4 ~J3DMtxCalcAnm() 	m_Do_ext.o 
  00009dbc 000090 8000f49c  4 ~J3DMtxCalcMaya() 	m_Do_ext.o 
  00009e4c 000064 8000f52c  4 ~J3DMtxCalcBasic() 	m_Do_ext.o 
  00009eb0 000080 8000f590  4 mDoExt_bckAnm::changeBckOnly(J3DAnmTransform*) 	m_Do_ext.o 
  00009f30 000028 8000f610  4 mDoExt_bckAnm::entry(J3DModelData*, f32) 	m_Do_ext.o 
  00009f58 000068 8000f638  4 mDoExt_changeMaterial(J3DModel*) 	m_Do_ext.o 
  00009fc0 0000b8 8000f6a0  4 mDoExt_modelTexturePatch(J3DModelData*) 	m_Do_ext.o 
  0000a078 000004 8000f758  4 J3DTevBlock::patchTexNoAndTexCoordScale() 	m_Do_ext.o 
  0000a07c 000004 8000f75c  4 J3DPEBlock::patch() 	m_Do_ext.o 
  0000a080 000004 8000f760  4 J3DColorBlock::patchLight() 	m_Do_ext.o 
  0000a084 000004 8000f764  4 J3DTevBlock::patch() 	m_Do_ext.o 
  0000a088 000054 8000f768  4 mDoExt_modelDiff(J3DModel*) 	m_Do_ext.o 
  0000a0dc 000090 8000f7bc  4 mDoExt_modelUpdate(J3DModel*) 	m_Do_ext.o 
  0000a16c 0000ac 8000f84c  4 mDoExt_modelUpdateDL(J3DModel*) 	m_Do_ext.o 
  0000a218 00007c 8000f8f8  4 mDoExt_modelEntry(J3DModel*) 	m_Do_ext.o 
  0000a294 000098 8000f974  4 mDoExt_modelEntryDL(J3DModel*) 	m_Do_ext.o 
  0000a32c 0006e4 8000fa0c  4 mDoExt_backupMatBlock_c::store(J3DMaterial*) 	m_Do_ext.o 
  0000aa10 000008 800100f0  4 J3DPEBlock::getZCompLoc() const 	m_Do_ext.o 
  0000aa18 000008 800100f8  4 J3DPEBlock::getZMode() 	m_Do_ext.o 
  0000aa20 000008 80010100  4 J3DPEBlock::getBlend() 	m_Do_ext.o 
  0000aa28 000008 80010108  4 J3DPEBlock::getAlphaComp() 	m_Do_ext.o 
  0000aa30 000008 80010110  4 J3DPEBlock::getFog() 	m_Do_ext.o 
  0000aa38 000008 80010118  4 J3DIndBlock::getIndTexCoordScale(u32) 	m_Do_ext.o 
  0000aa40 000008 80010120  4 J3DIndBlock::getIndTexMtx(u32) 	m_Do_ext.o 
  0000aa48 000008 80010128  4 J3DIndBlock::getIndTexOrder(u32) 	m_Do_ext.o 
  0000aa50 000008 80010130  4 J3DIndBlock::getIndTexStageNum() const 	m_Do_ext.o 
  0000aa58 000008 80010138  4 J3DTevBlock::getIndTevStage(u32) 	m_Do_ext.o 
  0000aa60 000008 80010140  4 J3DTevBlock::getTevStage(u32) 	m_Do_ext.o 
  0000aa68 00000c 80010148  4 J3DTevBlock::getTexNo(u32) const 	m_Do_ext.o 
  0000aa74 000008 80010154  4 J3DTevBlock::getTevSwapModeTable(u32) 	m_Do_ext.o 
  0000aa7c 000008 8001015c  4 J3DTevBlock::getTevKAlphaSel(u32) 	m_Do_ext.o 
  0000aa84 000008 80010164  4 J3DTevBlock::getTevKColorSel(u32) 	m_Do_ext.o 
  0000aa8c 000008 8001016c  4 J3DTevBlock::getTevOrder(u32) 	m_Do_ext.o 
  0000aa94 000008 80010174  4 J3DTevBlock::getTevKColor(u32) 	m_Do_ext.o 
  0000aa9c 000008 8001017c  4 J3DTevBlock::getTevColor(u32) 	m_Do_ext.o 
  0000aaa4 000008 80010184  4 J3DTevBlock::getTevStageNum() const 	m_Do_ext.o 
  0000aaac 000008 8001018c  4 J3DTexGenBlock::getTexCoord(u32) 	m_Do_ext.o 
  0000aab4 000008 80010194  4 J3DTexGenBlock::getTexGenNum() const 	m_Do_ext.o 
  0000aabc 000008 8001019c  4 J3DColorBlock::getAmbColor(u32) 	m_Do_ext.o 
  0000aac4 000008 800101a4  4 J3DColorBlock::getColorChan(u32) 	m_Do_ext.o 
  0000aacc 000008 800101ac  4 J3DColorBlock::getMatColor(u32) 	m_Do_ext.o 
  0000aad4 000008 800101b4  4 J3DColorBlock::getColorChanNum() const 	m_Do_ext.o 
  0000aadc 000690 800101bc  4 mDoExt_backupMatBlock_c::restore(J3DMaterial*) 	m_Do_ext.o 
  0000b16c 000004 8001084c  4 J3DPEBlock::setZCompLoc(u8) 	m_Do_ext.o 
  0000b170 000004 80010850  4 J3DPEBlock::setZMode(J3DZMode) 	m_Do_ext.o 
  0000b174 000004 80010854  4 J3DPEBlock::setBlend(J3DBlend) 	m_Do_ext.o 
  0000b178 000004 80010858  4 J3DPEBlock::setAlphaComp(J3DAlphaComp) 	m_Do_ext.o 
  0000b17c 000004 8001085c  4 J3DIndBlock::setIndTexCoordScale(u32, J3DIndTexCoordScale) 	m_Do_ext.o 
  0000b180 00003c 80010860  4 ~J3DIndTexCoordScale() 	m_Do_ext.o 
  0000b1bc 000004 8001089c  4 J3DIndBlock::setIndTexMtx(u32, J3DIndTexMtx) 	m_Do_ext.o 
  0000b1c0 00003c 800108a0  4 ~J3DIndTexMtx() 	m_Do_ext.o 
  0000b1fc 000004 800108dc  4 J3DIndBlock::setIndTexStageNum(u8) 	m_Do_ext.o 
  0000b200 000004 800108e0  4 J3DTevBlock::setIndTevStage(u32, J3DIndTevStage) 	m_Do_ext.o 
  0000b204 000004 800108e4  4 J3DTevBlock::setTevStage(u32, J3DTevStage) 	m_Do_ext.o 
  0000b208 000004 800108e8  4 J3DTevBlock::setTexNo(u32, u16) 	m_Do_ext.o 
  0000b20c 000004 800108ec  4 J3DTevBlock::setTevSwapModeTable(u32, J3DTevSwapModeTable) 	m_Do_ext.o 
  0000b210 000004 800108f0  4 J3DTevBlock::setTevKAlphaSel(u32, u8) 	m_Do_ext.o 
  0000b214 000004 800108f4  4 J3DTevBlock::setTevKColorSel(u32, u8) 	m_Do_ext.o 
  0000b218 000004 800108f8  4 J3DTevBlock::setTevOrder(u32, J3DTevOrder) 	m_Do_ext.o 
  0000b21c 000004 800108fc  4 J3DTevBlock::setTevKColor(u32, J3DGXColor) 	m_Do_ext.o 
  0000b220 000004 80010900  4 J3DTevBlock::setTevColor(u32, J3DGXColorS10) 	m_Do_ext.o 
  0000b224 000004 80010904  4 J3DTevBlock::setTevStageNum(u8) 	m_Do_ext.o 
  0000b228 000004 80010908  4 J3DTexGenBlock::setTexCoord(u32, J3DTexCoord const*) 	m_Do_ext.o 
  0000b22c 000004 8001090c  4 J3DTexGenBlock::setTexGenNum(u32) 	m_Do_ext.o 
  0000b230 000004 80010910  4 J3DColorBlock::setAmbColor(u32, J3DGXColor) 	m_Do_ext.o 
  0000b234 000004 80010914  4 J3DColorBlock::setColorChan(u32, J3DColorChan const&) 	m_Do_ext.o 
  0000b238 000004 80010918  4 J3DColorBlock::setMatColor(u32, J3DGXColor) 	m_Do_ext.o 
  0000b23c 000004 8001091c  4 J3DColorBlock::setColorChanNum(u8) 	m_Do_ext.o 
  0000b240 0000d4 80010920  4 mDoExt_backupMaterial_c::create(J3DModelData*) 	m_Do_ext.o 
  0000b314 000094 800109f4  4 ~mDoExt_backupMatBlock_c() 	m_Do_ext.o 
  0000b3a8 00003c 80010a88  4 ~J3DTexMtx() 	m_Do_ext.o 
  0000b3e4 000280 80010ac4  4 mDoExt_backupMatBlock_c() 	m_Do_ext.o 
  0000b664 000018 80010d44  4 J3DIndTexCoordScale() 	m_Do_ext.o 
  0000b67c 000058 80010d5c  4 J3DIndTexMtx() 	m_Do_ext.o 
  0000b6d4 000018 80010db4  4 J3DIndTexOrder() 	m_Do_ext.o 
  0000b6ec 00000c 80010dcc  4 J3DTevSwapModeTable() 	m_Do_ext.o 
  0000b6f8 000020 80010dd8  4 J3DTevOrder() 	m_Do_ext.o 
  0000b718 0000e4 80010df8  4 J3DIndTevStage() 	m_Do_ext.o 
  0000b7fc 000068 80010edc  4 J3DTevStage() 	m_Do_ext.o 
  0000b864 0001c8 80010f44  4 J3DTevStage::setTevStageInfo(J3DTevStageInfo const&) 	m_Do_ext.o 
  0000ba2c 000004 8001110c  4 J3DGXColorS10() 	m_Do_ext.o 
  0000ba30 0000a4 80011110  4 J3DTexMtx() 	m_Do_ext.o 
  0000bad4 000020 800111b4  4 J3DTexCoord() 	m_Do_ext.o 
  0000baf4 0000bc 800111d4  4 J3DColorChan() 	m_Do_ext.o 
  0000bbb0 000004 80011290  4 J3DGXColor() 	m_Do_ext.o 
  0000bbb4 00006c 80011294  4 mDoExt_backupMaterial_c::create(u16) 	m_Do_ext.o 
  0000bc20 000080 80011300  4 mDoExt_backupMaterial_c::restore(J3DModelData*) 	m_Do_ext.o 
  0000bca0 0000b4 80011380  4 mDoExt_invisibleModel::create(J3DModel*) 	m_Do_ext.o 
  0000bd54 00005c 80011434  4 ~mDoExt_invJntPacket() 	m_Do_ext.o 
  0000bdb0 00002c 80011490  4 mDoExt_invJntPacket() 	m_Do_ext.o 
  0000bddc 000048 800114bc  4 ~J3DPacket() 	m_Do_ext.o 
  0000be24 0000a8 80011504  4 mDoExt_invisibleModel::entry() 	m_Do_ext.o 
  0000becc 0000a8 800115ac  4 mDoExt_invisibleModel::entryMaskOff() 	m_Do_ext.o 
  0000bf74 000070 80011654  4 mDoExt_invisibleModel::updateDL(J3DModel*) 	m_Do_ext.o 
  0000bfe4 000070 800116c4  4 mDoExt_invisibleModel::updateDL(mDoExt_McaMorf*) 	m_Do_ext.o 
  0000c054 0000b0 80011734  4 mDoExt_createGameHeap(u32, JKRHeap*) 	m_Do_ext.o 
  0000c104 000008 800117e4  4 mDoExt_getGameHeap() 	m_Do_ext.o 
  0000c10c 000028 800117ec  4 mDoExt_setSafeGameHeapSize() 	m_Do_ext.o 
  0000c134 000008 80011814  4 mDoExt_getSafeGameHeapSize() 	m_Do_ext.o 
  0000c13c 0000a4 8001181c  4 mDoExt_createZeldaHeap(u32, JKRHeap*) 	m_Do_ext.o 
  0000c1e0 000008 800118c0  4 mDoExt_getZeldaHeap() 	m_Do_ext.o 
  0000c1e8 000028 800118c8  4 mDoExt_setSafeZeldaHeapSize() 	m_Do_ext.o 
  0000c210 000008 800118f0  4 mDoExt_getSafeZeldaHeapSize() 	m_Do_ext.o 
  0000c218 0000a4 800118f8  4 mDoExt_createCommandHeap(u32, JKRHeap*) 	m_Do_ext.o 
  0000c2bc 000008 8001199c  4 mDoExt_getCommandHeap() 	m_Do_ext.o 
  0000c2c4 000028 800119a4  4 mDoExt_setSafeCommandHeapSize() 	m_Do_ext.o 
  0000c2ec 000008 800119cc  4 mDoExt_getSafeCommandHeapSize() 	m_Do_ext.o 
  0000c2f4 0000b0 800119d4  4 mDoExt_createArchiveHeap(u32, JKRHeap*) 	m_Do_ext.o 
  0000c3a4 000028 80011a84  4 mDoExt_setSafeArchiveHeapSize() 	m_Do_ext.o 
  0000c3cc 000008 80011aac  4 mDoExt_getSafeArchiveHeapSize() 	m_Do_ext.o 
